current_time,temp,humidity,main
2026-03-05 05:40:12,10.38,23,Clouds
2026-03-05 06:08:12,11.76,40,Haze
2026-03-05 07:10:02,10.48,36,Clouds
2026-03-05 07:55:21,8.87,57,Clouds
2026-03-05 08:49:31,10.76,46,Haze
2026-03-05 09:30:35,7.36,73,Rain
2026-03-05 10:10:12,5.74,86,Rain
2026-03-05 11:01:38,4.76,93,Rain
2026-03-05 11:45:11,3.74,92,Rain
2026-03-05 12:27:34,3.74,92,Rain
2026-03-05 13:43:45,-0.24,100,Snow
2026-03-05 14:33:29,1.89,99,Rain
2026-03-05 15:32:00,0.76,100,Snow
2026-03-05 17:44:03,2.22,86,Clouds
2026-03-05 19:01:24,0.76,100,Mist
2026-03-05 19:58:09,2.6,74,Clouds
2026-03-05 20:48:15,-0.24,100,Mist
2026-03-05 21:21:14,2.67,74,Clouds
2026-03-05 21:55:56,2.19,79,Clouds
2026-03-05 22:37:15,0.76,100,Mist
2026-03-05 23:40:55,1.76,93,Mist
2026-03-06 01:00:00,1.76,93,Mist
2026-03-06 03:32:11,3.22,61,Clouds
2026-03-06 05:00:06,3.76,75,Haze
2026-03-06 05:55:30,3.5,56,Clouds
2026-03-06 06:55:11,2.76,75,Haze
2026-03-06 07:40:04,4.12,44,Clouds
2026-03-06 08:03:03,4.12,44,Clouds
2026-03-06 08:54:01,3.31,46,Rain
2026-03-06 09:37:38,2.15,46,Clouds
2026-03-06 10:06:08,2.76,65,Haze
2026-03-06 10:54:29,0.76,75,Haze
2026-03-06 11:29:05,1.76,64,Clouds
2026-03-06 11:54:14,0.88,43,Clouds
2026-03-06 12:56:03,-0.24,69,Clouds
2026-03-06 13:57:20,0.16,40,Clear
2026-03-06 14:46:22,-0.03,39,Clear
2026-03-06 15:23:44,-1.24,69,Clear
2026-03-06 15:59:50,-1.24,69,Clear
2026-03-06 16:55:36,-0.93,35,Clear
2026-03-06 17:37:56,-1.32,34,Clear
2026-03-06 18:04:40,-1.24,69,Clear
2026-03-06 19:01:54,-1.05,35,Clear
2026-03-06 19:44:02,-1.4,34,Clear
2026-03-06 20:02:29,-3.24,80,Clear
2026-03-06 20:46:53,-3.24,80,Clear
2026-03-06 21:16:17,-3.24,68,Clear
2026-03-06 21:47:13,-1.45,33,Clear
2026-03-06 22:02:14,-1.45,33,Clear
2026-03-06 22:44:42,-1.36,32,Clear
2026-03-06 23:14:00,-1.24,59,Clear
2026-03-06 23:44:29,-1.24,59,Clear
2026-03-07 00:00:43,-0.76,30,Clear
2026-03-07 02:41:26,1.76,35,Clear
2026-03-07 04:15:00,3.76,41,Clear
2026-03-07 05:10:54,4.4,16,Clear
2026-03-07 05:52:58,4.76,36,Clear
2026-03-07 06:35:15,4.92,16,Clear
2026-03-07 07:06:48,4.76,33,Clear
2026-03-07 07:41:49,4.33,17,Clear
2026-03-07 07:57:56,4.33,17,Clear
2026-03-07 08:41:31,4.76,30,Clear
2026-03-07 09:02:26,4.76,30,Clear
2026-03-07 09:40:11,2.76,35,Clear
2026-03-07 09:57:11,2.76,35,Clear
2026-03-07 10:32:41,3.2,21,Clear
2026-03-07 10:53:24,1.76,41,Clear
2026-03-07 11:18:02,2.61,23,Clear
2026-03-07 11:38:27,-0.24,51,Clear
2026-03-07 11:53:08,1.86,26,Clear
2026-03-07 12:40:10,-0.24,55,Clear
2026-03-07 13:27:15,0.81,28,Clear
2026-03-07 13:56:45,0.28,30,Clear
2026-03-07 14:30:50,0.28,30,Clear
2026-03-07 14:53:26,-2.24,64,Clear
2026-03-07 15:21:00,-2.24,64,Clear
2026-03-07 15:42:36,-2.24,64,Clear
2026-03-07 15:57:47,-0.31,33,Clear
2026-03-07 16:38:34,-3.24,74,Clear
2026-03-07 16:57:45,-3.24,74,Clear
2026-03-07 17:29:50,-0.5,34,Clear
2026-03-07 17:49:59,-4.24,74,Clear
